file_name	url	most_common_town	most_mentioned_year	most_common_state	has_climate	has_community	total_words	total_pages	first100words	flood_count	storm_count	heat_count	air_pollution_count	indoor_air_quality_count	chemical_hazards_count	extreme_precipitation_count	fire_count	flood_percent	storm_percent	heat_percent	air_pollution_percent	indoor_air_quality_percent	chemical_hazards_percent	extreme_precipitation_percent	fire_percent	workshop_count	mapping_count	survey_count	conversation_count	community_meeting_count	small_group_discussion_count	inform_count	workshop_percent	mapping_percent	survey_percent	conversation_percent	community_meeting_percent	small_group_discussion_percent	inform_percent	town_name	towns_to_scrub	is_ACRES_town	is_INNER_CORE	is_MASS	duplicated	pass_checks2	Manual.Check	Checked.by	Manual.Check.11.19	REASON	Manual.Check_9.10	pass_checks3	pass_checks4
melroseurl51.json	http://www.sxd.sala.ubc.ca/9_resources/BostonChallenge.pdf	boston	2008	massachusetts	1	1	10410	32	The Boston Regional Challenge Examining the Costs and Impacts of Housing and Transportation on Area	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	88.889	0	11.111	0	0	MELROSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
melroseurl62.json	https://www.mass.gov/doc/2017-2018-mvp-planning-grant-report-melrose/download	melrose	2018	massachusetts	1	1	20058	112	Community Resilience Building Workshop: Summary of Findings Municipal Vulnerability Preparedness (M	47	68	18	7	1	0	15	4	29.375	42.5	11.25	4.375	0.625	0	9.375	2.5	75	3	9	0	7	3	0	77.32	3.093	9.278	0	7.216	3.093	0	MELROSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
melroseurl6.json	https://www.mapc.org/wp-content/uploads/2023/04/Final_Stormwater-Report_MAPC_April-2023.pdf	boston	2010	massachusetts	1	1	11799	45	Water, Water, Everywhere: TThhee IInnccrreeaassiinngg TThhrreeaatt ooff SSttoorrmmwwaatteerr FFlloo	432	142	0	0	4	0	17	0	72.605	23.866	0	0	0.672	0	2.857	0	0	0	1	20	2	0	0	0	0	4.348	86.957	8.696	0	0	MELROSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	INCLUDE		INCLUDE		INCLUDE	TRUE	TRUE
miltonurl24.json	https://semspub.epa.gov/work/01/675764.pdf	milton	2023	massachusetts	1	1	8729	35	Reuse Assessment Report (FINAL) Lower Neponset River Superfund Site Boston and Milton, Massachusett	17	0	0	4	0	1	0	0	77.273	0	0	18.182	0	4.545	0	0	11	0	2	11	6	0	0	36.667	0	6.667	36.667	20	0	0	MILTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NC	INCLUDE		NA	TRUE	TRUE
miltonurl57.json	https://www.mass.gov/doc/milton-report/download	milton	2019	massachusetts	1	1	6736	49	TOWN OF MILTON MUNICIPAL VULNERABILITY PREPAREDNESS PROGRAM Community Resilience Building Workshop 	56	40	10	0	1	0	26	2	41.481	29.63	7.407	0	0.741	0	19.259	1.481	51	0	2	5	5	9	2	68.919	0	2.703	6.757	6.757	12.162	2.703	MILTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
needhamurl1.json	https://www.mapc.org/wp-content/uploads/2020/04/Needham-draft-mvp-report.pdf	needham	2020	massachusetts	1	1	7984	43	DRAFT Town of Needham Community Res ilience Building Workshop Summary of Findings March 2020 Town o	43	48	10	7	0	8	11	4	32.824	36.641	7.634	5.344	0	6.107	8.397	3.053	21	0	7	0	20	1	0	42.857	0	14.286	0	40.816	2.041	0	NEEDHAM	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NC	INCLUDE	It's what we want!	NA	TRUE	TRUE
needhamurl24.json	https://npshistory.com/publications/boha/mb-v54a78-2024.pdf	boston	2020	massachusetts	1	1	13555	19	Marine Biodiversity (2024) 54:78 https://doi.org/10.1007/s12526-024-01462-4 ORIGINAL PAPER Historic	9	4	2	0	1	2	0	0	50	22.222	11.111	0	5.556	11.111	0	0	0	0	34	0	0	0	0	0	0	100	0	0	0	0	NEEDHAM	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NC	INCLUDE	Boston Harbor Islands?	NA	TRUE	TRUE
needhamurl57.json	https://www.mass.gov/doc/needham-report/download	needham	2020	massachusetts	1	1	8949	43	Town of Needham Community Res ilience Building Workshop Summary of Findings May 2020 Town of Needha	46	54	10	7	0	9	11	4	32.624	38.298	7.092	4.965	0	6.383	7.801	2.837	22	0	8	0	20	2	0	42.308	0	15.385	0	38.462	3.846	0	NEEDHAM	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
newtonurl4.json	https://sustainability.mit.edu/sites/default/files/resources/2018-11/mit_climate_resiliency_rpt326.mar2018.pdf	cambridge	2017	massachusetts	1	1	9127	18	Report 326 March 2018 MIT Climate Resilience Planning: Flood Vulnerability Study Kenneth Strzepek, 	236	152	1	0	0	0	29	0	56.459	36.364	0.239	0	0	0	6.938	0	4	0	2	0	0	0	0	66.667	0	33.333	0	0	0	0	NEWTON	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NC	INCLUDE		NA	TRUE	TRUE
newtonurl74.json	https://www.mass.gov/doc/newton-report/download	newton	2018	massachusetts	1	1	4639	34	City of Newton Community Res ilience Building Workshop Summary of Findings December 2018 Selwyn Roa	48	39	16	0	1	0	6	0	43.636	35.455	14.545	0	0.909	0	5.455	0	20	0	1	0	9	2	0	62.5	0	3.125	0	28.125	6.25	0	NEWTON	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
quincyurl1.json	https://cms7files1.revize.com/quincyma/Document%20Center/Residents/Multi-Hazard%20Mitigation%20Plan/HMPlan_Summary%202.27.19.pdf	quincy	2019	massachusetts	1	1	4159	8	QUINC Y H A Z A RD MITIGATION PL A N SUMM A RY Draft: February 2019 Hazard Mitigation Plan Executiv	96	36	1	0	0	0	6	1	68.571	25.714	0.714	0	0	0	4.286	0.714	5	0	2	0	4	0	0	45.455	0	18.182	0	36.364	0	0	QUINCY	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NC	INCLUDE		NA	TRUE	TRUE
quincyurl65.json	https://www.mass.gov/doc/quincy-report-part-1-of-5/download	quincy	2019	massachusetts	1	1	15728	38	CITY OF QUINCY MUNICIPAL VULNERABILITY PREPAREDNESS PROGRAM COMMUNITY RESILENCE BUILDING WORKSHOPS-	29	25	1	0	0	0	1	0	51.786	44.643	1.786	0	0	0	1.786	0	116	0	3	3	6	8	0	85.294	0	2.206	2.206	4.412	5.882	0	QUINCY	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE
