Checked by|Manual Check 11.19|REASON|pass_checks2|Manual.Check_9.10|most_common_town|file_name
|EXCLUDE||FALSE|EXCLUDE|boston|burlingtonurl3.json
|||FALSE||florida|burlingtonurl29.json
|||FALSE||washington|burlingtonurl27.json
|||FALSE||burlington|burlingtonurl36.json
|||FALSE||burlington|burlingtonurl32.json
|||FALSE||norfolk|burlingtonurl33.json
|||FALSE||washington|burlingtonurl30.json
|EXCLUDE||FALSE|EXCLUDE|washington|burlingtonurl34.json
|||FALSE||washington|burlingtonurl38.json
|||FALSE||florida|burlingtonurl37.json
|||FALSE||burlington|burlingtonurl35.json
|||FALSE||salem|burlingtonurl41.json
|||FALSE||worcester|burlingtonurl4.json
|||FALSE||washington|burlingtonurl31.json
|EXCLUDE||FALSE|EXCLUDE|amherst|burlingtonurl47.json
|||FALSE||washington|burlingtonurl42.json
|||FALSE||washington|burlingtonurl44.json
|||FALSE||washington|burlingtonurl40.json
|||FALSE||springfield|burlingtonurl5.json
NC|EXCLUDE||TRUE|EXCLUDE|boston|burlingtonurl48.json
|||FALSE||lynn|burlingtonurl43.json
|||FALSE||burlington|burlingtonurl46.json
|||FALSE||washington|burlingtonurl50.json
|||FALSE||burlington|burlingtonurl45.json
|||FALSE||burlington|burlingtonurl49.json
|||TRUE||lynn|burlingtonurl51.json
|||FALSE||boston|burlingtonurl55.json
|||FALSE||washington|burlingtonurl56.json
|||FALSE||rutland|burlingtonurl60.json
|||FALSE||washington|burlingtonurl52.json
|||FALSE||washington|burlingtonurl58.json
|||FALSE||washington|burlingtonurl53.json
|||FALSE||sharon|burlingtonurl59.json
|||FALSE||bridgewater|burlingtonurl63.json
|INCLUDE||TRUE|INCLUDE|wakefield|burlingtonurl54.json
|||FALSE||burlington|burlingtonurl6.json
|||FALSE||orleans|burlingtonurl61.json
|EXCLUDE||TRUE|EXCLUDE|boston|burlingtonurl64.json
|||FALSE||washington|burlingtonurl62.json
|||FALSE||bedford|burlingtonurl68.json
|EXCLUDE||TRUE|EXCLUDE|boston|burlingtonurl7.json
|EXCLUDE||TRUE|EXCLUDE|boston|burlingtonurl74.json
|INCLUDE||FALSE|INCLUDE|melrose|burlingtonurl65.json
|INCLUDE||TRUE|INCLUDE|somerville|burlingtonurl72.json
|||FALSE||dalton|burlingtonurl75.json
|||FALSE||georgetown|burlingtonurl71.json
|||FALSE||washington|burlingtonurl67.json
|||FALSE||washington|burlingtonurl69.json
|||FALSE||westborough|burlingtonurl70.json
|||FALSE||beverly|burlingtonurl76.json
|||FALSE||washington|burlingtonurl66.json
|||FALSE||florida|burlingtonurl77.json
|||FALSE||washington|burlingtonurl81.json
|||FALSE||washington|burlingtonurl82.json
|||FALSE||arlington|burlingtonurl79.json
|||FALSE||washington|burlingtonurl9.json
|INCLUDE||TRUE|INCLUDE|cambridge|cambridgeurl11.json
|EXCLUDE||TRUE|EXCLUDE|boston|burlingtonurl78.json
|||FALSE||washington|cambridgeurl12.json
|||FALSE||hatfield|burlingtonurl8.json
|||FALSE||greenfield|burlingtonurl80.json
|||FALSE||washington|burlingtonurl83.json
|||FALSE||boston|burlingtonurl84.json
|INCLUDE||TRUE|INCLUDE|cambridge|cambridgeurl10.json
|INCLUDE||TRUE|INCLUDE|boston|cambridgeurl1.json
|EXCLUDE||FALSE|EXCLUDE|amherst|cambridgeurl14.json
|||FALSE||washington|cambridgeurl13.json
|||FALSE||washington|cambridgeurl17.json
|||FALSE||cambridge|cambridgeurl15.json
|||FALSE||princeton|cambridgeurl18.json
|INCLUDE||TRUE|INCLUDE|boston|cambridgeurl2.json
|EXCLUDE||FALSE|EXCLUDE|washington|cambridgeurl24.json
|||FALSE||montgomery|cambridgeurl16.json
|||FALSE||washington|cambridgeurl21.json
|||FALSE||warwick|cambridgeurl22.json
|||FALSE||easton|cambridgeurl20.json
|||FALSE||washington|cambridgeurl19.json
|||FALSE||duxbury|cambridgeurl27.json
|EXCLUDE||FALSE|EXCLUDE|amherst|cambridgeurl23.json
|||FALSE||cambridge|cambridgeurl25.json
|EXCLUDE||TRUE|EXCLUDE|cambridge|cambridgeurl30.json
|||FALSE||hudson|cambridgeurl26.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl28.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl37.json
|INCLUDE||TRUE|INCLUDE|cambridge|cambridgeurl3.json
|||FALSE||harvard|cambridgeurl29.json
|||FALSE||harvard|cambridgeurl32.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl31.json
|||FALSE||salem|cambridgeurl34.json
|||FALSE||washington|cambridgeurl38.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl35.json
|||FALSE||cambridge|cambridgeurl41.json
|||FALSE||washington|cambridgeurl36.json
|||FALSE||florida|cambridgeurl33.json
|INCLUDE||TRUE|INCLUDE|boston|cambridgeurl39.json
|||FALSE||cambridge|cambridgeurl49.json
|||FALSE||richmond|cambridgeurl43.json
|||FALSE||washington|cambridgeurl44.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl42.json
|||FALSE||washington|cambridgeurl40.json
|||FALSE||cambridge|cambridgeurl4.json
|||FALSE||cambridge|cambridgeurl47.json
|INCLUDE||TRUE|INCLUDE|boston|cambridgeurl5.json
|||FALSE||cambridge|cambridgeurl50.json
|||FALSE||cambridge|cambridgeurl46.json
|||FALSE||florida|cambridgeurl51.json
|EXCLUDE||FALSE|EXCLUDE|washington|cambridgeurl48.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl54.json
|||FALSE||peru|cambridgeurl52.json
|INCLUDE||FALSE|INCLUDE|chelsea|cambridgeurl45.json
|||FALSE||lee|cambridgeurl56.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl53.json
|||FALSE||lawrence|cambridgeurl59.json
|INCLUDE||TRUE|INCLUDE|revere|cambridgeurl58.json
|||FALSE||clarksburg|cambridgeurl55.json
|EXCLUDE||FALSE|EXCLUDE|cambridge|cambridgeurl6.json
|EXCLUDE||FALSE|EXCLUDE|medford|cambridgeurl61.json
|||FALSE||washington|cambridgeurl57.json
|INCLUDE||FALSE|INCLUDE|gloucester|chelseaurl1.json
|||FALSE||washington|cambridgeurl60.json
|INCLUDE||FALSE|INCLUDE|boston|chelseaurl11.json
|EXCLUDE||FALSE|EXCLUDE|florida|cambridgeurl9.json
|INCLUDE||FALSE|INCLUDE|cambridge|chelseaurl10.json
|INCLUDE||FALSE|INCLUDE|cambridge|cambridgeurl7.json
|||FALSE||boston|cambridgeurl8.json
|||FALSE||boston|chelseaurl14.json
|||FALSE||somerville|chelseaurl12.json
|INCLUDE||FALSE|INCLUDE|everett|chelseaurl18.json
|INCLUDE||FALSE|INCLUDE|boston|chelseaurl17.json
|EXCLUDE||FALSE|EXCLUDE|worcester|chelseaurl13.json
|INCLUDE||FALSE|INCLUDE|boston|chelseaurl16.json
|INCLUDE||TRUE|INCLUDE|chelsea|chelseaurl2.json
|INCLUDE||FALSE|INCLUDE|boston|chelseaurl20.json
|INCLUDE||FALSE|INCLUDE|boston|chelseaurl22.json
|INCLUDE||FALSE|INCLUDE|boston|chelseaurl23.json
|||FALSE||quincy|chelseaurl19.json
|INCLUDE||TRUE|INCLUDE|revere|chelseaurl21.json
|||FALSE||boston|chelseaurl24.json
|INCLUDE||TRUE|INCLUDE|chelsea|chelseaurl3.json
|||FALSE||weston|chelseaurl27.json
|EXCLUDE||FALSE|EXCLUDE|boston|chelseaurl26.json
|||FALSE||washington|chelseaurl32.json
|EXCLUDE||TRUE|EXCLUDE|boston|chelseaurl29.json
|EXCLUDE||FALSE|EXCLUDE|boston|chelseaurl28.json
|||FALSE||boston|chelseaurl30.json
|||FALSE||boston|chelseaurl31.json
|INCLUDE||TRUE|INCLUDE|chelsea|chelseaurl25.json
|INCLDUE||FALSE|INCLDUE|boston|chelseaurl35.json
|EXCLUDE||TRUE|EXCLUDE|boston|chelseaurl37.json
|EXCLUDE||FALSE|EXCLUDE|boston|chelseaurl36.json
|INCLUDE||FALSE|INCLUDE|chelsea|chelseaurl4.json
|||FALSE||lee|chelseaurl38.json
|||FALSE||orleans|chelseaurl39.json
|INCLUDE||FALSE|INCLUDE|woburn|chelseaurl40.json
|EXCLUDE||FALSE|EXCLUDE|everett|chelseaurl41.json
|EXCLUDE||TRUE|EXCLUDE|reading|chelseaurl46.json
|EXCLUDE||TRUE|EXCLUDE|boston|chelseaurl48.json
|||FALSE||boston|chelseaurl51.json
|INCLUDE||TRUE|INCLUDE|chelsea|chelseaurl42.json
|EXCLUDE||FALSE|EXCLUDE|boston|chelseaurl49.json
|||FALSE||foxborough|chelseaurl43.json
|INCLUDE||TRUE|INCLUDE|somerville|chelseaurl45.json
|INCLUDE||TRUE|INCLUDE|chelsea|chelseaurl5.json
|||FALSE||harvard|chelseaurl47.json
|EXCLUDE||FALSE|EXCLUDE|boston|chelseaurl53.json
|INCLUDE||TRUE|INCLUDE|boston|chelseaurl50.json
|||FALSE||boston|chelseaurl57.json
|EXCLUDE||FALSE|EXCLUDE|chelsea|chelseaurl58.json
|||FALSE||washington|chelseaurl52.json
|||FALSE||worcester|chelseaurl63.json
|||FALSE||washington|chelseaurl60.json
|||FALSE||washington|chelseaurl56.json
|||FALSE||florida|chelseaurl54.json
|||FALSE||boston|chelseaurl59.json
|INCLUDE||TRUE|INCLUDE|chelsea|chelseaurl65.json
|INCLUDE||FALSE|INCLUDE|boston|chelseaurl66.json
|EXCLUDE||FALSE|EXCLUDE|boston|chelseaurl68.json
|INCLUDE||TRUE|INCLDE|everett|chelseaurl61.json
|||FALSE||richmond|chelseaurl64.json
|EXCLUDE||FALSE|EXCLUDE|boston|chelseaurl6.json
|||FALSE||cambridge|chelseaurl67.json
|||FALSE||wilmington|chelseaurl71.json
|||FALSE||warwick|chelseaurl62.json
|INCLUDE||TRUE|INCLUDE|boston|chelseaurl70.json
|||FALSE||peabody|chelseaurl69.json
|||FALSE||boston|chelseaurl73.json
|||FALSE||fairhaven|chelseaurl74.json
|||FALSE||boston|chelseaurl7.json
|||FALSE||cambridge|chelseaurl72.json
|||FALSE||florida|chelseaurl75.json
