Checked by|Manual Check|REASON|pass_checks2|duplicated|file_name
|||FALSE|FALSE|burlingtonurl31.json
|||FALSE|FALSE|burlingtonurl32.json
|||FALSE|TRUE|burlingtonurl33.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|burlingtonurl34.json
|||FALSE|FALSE|burlingtonurl35.json
|||FALSE|FALSE|burlingtonurl36.json
|||FALSE|TRUE|burlingtonurl37.json
|||FALSE|FALSE|burlingtonurl38.json
|||FALSE|TRUE|burlingtonurl4.json
|||FALSE|FALSE|burlingtonurl40.json
|||FALSE|FALSE|burlingtonurl41.json
|||FALSE|FALSE|burlingtonurl42.json
|||FALSE|FALSE|burlingtonurl43.json
|||FALSE|FALSE|burlingtonurl44.json
|||FALSE|FALSE|burlingtonurl45.json
|||FALSE|FALSE|burlingtonurl46.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|burlingtonurl47.json
NC|EXCLUDE||TRUE|FALSE|burlingtonurl48.json
|||FALSE|FALSE|burlingtonurl49.json
|||FALSE|FALSE|burlingtonurl5.json
|||FALSE|TRUE|burlingtonurl50.json
|||FALSE|FALSE|burlingtonurl51.json
|||FALSE|TRUE|burlingtonurl52.json
|||FALSE|FALSE|burlingtonurl53.json
NC|INCLUDE||TRUE|FALSE|burlingtonurl54.json
|||FALSE|FALSE|burlingtonurl55.json
|||FALSE|FALSE|burlingtonurl56.json
|||FALSE|FALSE|burlingtonurl58.json
|||FALSE|TRUE|burlingtonurl59.json
|||FALSE|TRUE|burlingtonurl6.json
|||FALSE|FALSE|burlingtonurl60.json
|||FALSE|FALSE|burlingtonurl61.json
|||FALSE|FALSE|burlingtonurl62.json
|||FALSE|FALSE|burlingtonurl63.json
NC|EXCLUDE|Off-topic|TRUE|FALSE|burlingtonurl64.json
NC|INCLUDE||TRUE|TRUE|burlingtonurl65.json
|||FALSE|FALSE|burlingtonurl66.json
|||FALSE|FALSE|burlingtonurl67.json
|||FALSE|TRUE|burlingtonurl68.json
|||FALSE|FALSE|burlingtonurl69.json
NC|EXCLUDE|Not ACRES town (all MA)|TRUE|FALSE|burlingtonurl7.json
|||FALSE|FALSE|burlingtonurl70.json
|||FALSE|FALSE|burlingtonurl71.json
NC|INCLUDE||TRUE|FALSE|burlingtonurl72.json
NC|EXCLUDE|Off-topic|TRUE|FALSE|burlingtonurl74.json
|||FALSE|TRUE|burlingtonurl75.json
|||FALSE|FALSE|burlingtonurl76.json
|||FALSE|FALSE|burlingtonurl77.json
NC|EXCLUDE|Off-topic|TRUE|FALSE|burlingtonurl78.json
|||FALSE|TRUE|burlingtonurl79.json
|||FALSE|FALSE|burlingtonurl8.json
|||FALSE|FALSE|burlingtonurl80.json
|||FALSE|FALSE|burlingtonurl81.json
|||FALSE|FALSE|burlingtonurl82.json
|||FALSE|FALSE|burlingtonurl83.json
|||FALSE|FALSE|burlingtonurl84.json
|||FALSE|FALSE|burlingtonurl9.json
NC|INCLUDE||TRUE|FALSE|cambridgeurl1.json
NC|INCLUDE||TRUE|FALSE|cambridgeurl10.json
NC|INCLUDE||TRUE|FALSE|cambridgeurl11.json
|||FALSE|FALSE|cambridgeurl12.json
|||FALSE|FALSE|cambridgeurl13.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|cambridgeurl14.json
|||FALSE|FALSE|cambridgeurl15.json
|||FALSE|TRUE|cambridgeurl16.json
|||FALSE|FALSE|cambridgeurl17.json
|||FALSE|FALSE|cambridgeurl18.json
|||FALSE|TRUE|cambridgeurl19.json
NC|INCLUDE||TRUE|FALSE|cambridgeurl2.json
|||FALSE|TRUE|cambridgeurl20.json
|||FALSE|FALSE|cambridgeurl21.json
|||FALSE|TRUE|cambridgeurl22.json
NC|EXCLUDE|Not ACRES town, all Northeast|FALSE|TRUE|cambridgeurl23.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|cambridgeurl24.json
|||FALSE|FALSE|cambridgeurl25.json
|||FALSE|FALSE|cambridgeurl26.json
|||FALSE|TRUE|cambridgeurl27.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|cambridgeurl28.json
|||FALSE|TRUE|cambridgeurl29.json
NC|INCLUDE||TRUE|FALSE|cambridgeurl3.json
NC|EXCLUDE|Not ACRES town - just MIT|TRUE|FALSE|cambridgeurl30.json
NC|EXCLUDE|Off-topic|FALSE|FALSE|cambridgeurl31.json
|||FALSE|FALSE|cambridgeurl32.json
|||FALSE|FALSE|cambridgeurl33.json
|||FALSE|FALSE|cambridgeurl34.json
NC|EXCLUDE|Off-topic|FALSE|FALSE|cambridgeurl35.json
|||FALSE|FALSE|cambridgeurl36.json
NC|EXCLUDE|Not ACRES town|FALSE|TRUE|cambridgeurl37.json
|||FALSE|FALSE|cambridgeurl38.json
NC|INCLUDE|Technically a financial report but mention|TRUE|FALSE|cambridgeurl39.json
|||FALSE|FALSE|cambridgeurl4.json
|||FALSE|FALSE|cambridgeurl40.json
|||FALSE|TRUE|cambridgeurl41.json
NC|EXCLUDE|Not ACRES town|FALSE|TRUE|cambridgeurl42.json
|||FALSE|FALSE|cambridgeurl43.json
|||FALSE|TRUE|cambridgeurl44.json
NC|INCLUDE||TRUE|TRUE|cambridgeurl45.json
|||FALSE|FALSE|cambridgeurl46.json
|||FALSE|FALSE|cambridgeurl47.json
NC|EXCLUDE|Not ACRES town|FALSE|TRUE|cambridgeurl48.json
|||FALSE|TRUE|cambridgeurl49.json
NC|INCLUDE||TRUE|FALSE|cambridgeurl5.json
|||FALSE|TRUE|cambridgeurl50.json
|||FALSE|FALSE|cambridgeurl51.json
|||FALSE|FALSE|cambridgeurl52.json
NC|EXCLUDE|Not ACRES town|FALSE|FALSE|cambridgeurl53.json
NC|EXCLUDE|Off-topic|FALSE|FALSE|cambridgeurl54.json
|||FALSE|FALSE|cambridgeurl55.json
|||FALSE|FALSE|cambridgeurl56.json
|||FALSE|TRUE|cambridgeurl57.json
NC|INCLUDE|community needs assessment|TRUE|FALSE|cambridgeurl58.json
|||FALSE|FALSE|cambridgeurl59.json
NC|EXCLUDE|Off-topic|FALSE|FALSE|cambridgeurl6.json
|||FALSE|FALSE|cambridgeurl60.json
NC|EXCLUDE|Off-topic; building permit|TRUE|TRUE|cambridgeurl61.json
NC|INCLUDE||TRUE|TRUE|cambridgeurl7.json
|||FALSE|FALSE|cambridgeurl8.json
