file_name|most_common_town|is_INNER_CORE|is_ACRES_town|duplicated|is_MASS|has_climate|has_community
bostonurl26.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl27.json|brookline|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl28.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl29.json|chelsea|TRUE|TRUE|TRUE|TRUE|1|1
bostonurl3.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl30.json|boston|TRUE|FALSE|FALSE|TRUE|1|0
bostonurl31.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl32.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl33.json|quincy|TRUE|FALSE|TRUE|TRUE|1|1
bostonurl34.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl35.json|washington|FALSE|FALSE|FALSE|FALSE|1|1
bostonurl36.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl37.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
bostonurl38.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
bostonurl39.json|weston|FALSE|FALSE|TRUE|TRUE|1|1
bostonurl4.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
bostonurl40.json|somerville|TRUE|TRUE|FALSE|TRUE|1|1
bostonurl41.json|boston|TRUE|FALSE|TRUE|TRUE|1|1
bostonurl42.json|lee|FALSE|FALSE|FALSE|FALSE|1|1
bostonurl43.json|revere|TRUE|TRUE|FALSE|TRUE|1|1
bostonurl44.json|boston|TRUE|FALSE|FALSE|FALSE|1|1
bostonurl45.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl46.json|salisbury|FALSE|FALSE|FALSE|FALSE|1|1
bostonurl47.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl48.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl49.json|north adams|FALSE|FALSE|FALSE|TRUE|1|1
bostonurl5.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl50.json|chatham|FALSE|FALSE|FALSE|FALSE|1|1
bostonurl51.json|boston|TRUE|FALSE|FALSE|FALSE|1|0
bostonurl52.json|winthrop|TRUE|TRUE|TRUE|TRUE|1|1
bostonurl53.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl55.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl56.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl57.json|boston|TRUE|FALSE|FALSE|TRUE|1|1
bostonurl59.json|woburn|FALSE|TRUE|TRUE|TRUE|1|1
bostonurl6.json|cambridge|TRUE|TRUE|TRUE|TRUE|1|1
